GID,"Last, First",First  Last,Date,Team,Opp,H/A,GameID,GTime(ET),Team pts,Opp pts,Start,Minutes,GP,active,FDP,DKP,DDP,YHP,Stats,DoubleD,TripleD,FD Sal,FD Change,DK Sal,DK Change,DD Sal,DD Change,YH Sal,YH Change,FD pos,DK pos,DD pos,YH pos,Column1
4224,"Harden, James",James Harden,20171018,hou,sac,A,20171018-hou-sac,22,105,100,1,37.76666667,1,1,48.1,49.25,47.75,48.1,27pt 3rb 9as 2st 2to 4trey 8-21fg 7-8ft,0,0,11000,0,10200,200,,,47,-1,2,2,,2,
4788,"Richardson, Josh",Josh Richardson,20171018,mia,orl,A,20171018-mia-orl,19,109,116,1,34.93333333,1,1,16.4,17.5,17.25,16.4,10pt 2rb 2as 1bl 2to 2trey 4-9fg,0,0,5100,,4900,,,,13,,2,23,,3,
4212,"Holiday, Jrue",Jrue Holiday,20171018,nor,mem,A,20171018-nor-mem,20,91,103,1,38.5,1,1,17.2,18,15.75,17.2,4pt 6rb 4as 1st 3to 2-11fg,0,0,6900,,7000,,,,27,,2,1,,2,
4717,"Frazier, Tim",Tim Frazier,20171018,was,phi,H,20171018-phi-was,19,120,115,0,12.63333333,1,1,5.5,6.5,6.25,5.5,0pt 5as 2to 0-1fg,0,0,4200,,3700,,,,10,,1,1,,1,
4893,"Marjanovic, Boban",Boban Marjanovic,20171018,det,cha,H,20171018-cha-det,19,102,90,0,0,0,1,0,0,0,0,,0,0,3000,,3700,,,,10,,5,5,,5,
4612,"Wolters, Nate",Nate Wolters,20171018,uta,den,H,20171018-den-uta,21,106,96,0,0,0,1,0,0,0,0,,0,0,3000,,3000,,,,10,,1,1,,1,
4926,"Papagiannis, Georgios",Georgios Papagiannis,20171018,sac,hou,H,20171018-hou-sac,22,100,105,0,0,0,1,0,0,0,0,,0,0,3000,,3000,,,,10,,5,5,,5,
5148,"White, Derrick",Derrick White,20171018,sas,min,H,20171018-min-sas,21.5,107,99,0,0.166666667,1,1,0,0,0,0,0pt,0,0,3000,,3000,,,,10,,1,12,,1,
5167,"Giles, Harry",Harry Giles,20171018,sac,hou,H,20171018-hou-sac,22,100,105,0,0,0,0,0,0,0,0,,0,0,3000,,3000,,,,10,,4,45,,4,
4087,"Brown, Bobby",Bobby Brown,20171018,hou,sac,A,20171018-hou-sac,22,105,100,0,0,0,1,0,0,0,0,,0,0,3000,0,3700,-100,,,10,0,1,1,,1,
5198,"Walton Jr., Derrick",Derrick Walton Jr.,20171018,mia,orl,A,20171018-mia-orl,19,109,116,0,0,0,0,0,0,0,0,,0,0,3000,,3000,,,,10,,1,1,,1,
5135,"Jackson, Justin",Justin Jackson,20171018,sac,hou,H,20171018-hou-sac,22,100,105,1,19.41666667,1,1,7.4,8,7.75,7.4,5pt 2rb 1trey 2-5fg,0,0,3600,,3400,,,,10,,3,23,,3,
4969,"Richardson, Malachi",Malachi Richardson,20171018,sac,hou,H,20171018-hou-sac,22,100,105,0,5.533333333,1,1,0,0,-0.5,0,0pt 0-2fg,0,0,3000,,3000,,,,10,,2,23,,2,
4980,"Satoransky, Tomas",Tomas Satoransky,20171018,was,phi,H,20171018-phi-was,19,120,115,0,0,0,1,0,0,0,0,,0,0,3000,,3000,,,,10,,1,12,,2,
4086,"Batum, Nicolas",Nicolas Batum,20171018,cha,det,A,20171018-cha-det,19,90,102,0,0,0,0,0,0,0,0,,0,0,6400,,4000,,,,24,,2,23,,2,
4362,"Liggins, DeAndre",DeAndre Liggins,20171018,mil,bos,A,20171018-mil-bos,19.5,108,100,0,0,0,0,0,0,0,0,,0,0,,,3000,,,,,,,12,,,
5214,"Reed, Davon",Davon Reed,20171018,pho,por,H,20171018-por-pho,22,76,124,0,0,0,1,0,0,0,0,,0,0,,,3000,,,,10,,,2,,2,
4836,"Okafor, Jahlil",Jahlil Okafor,20171018,phi,was,A,20171018-phi-was,19,115,120,0,0,0,1,0,0,0,0,,0,0,4600,,3800,,,,12,,5,5,,5,
4913,"Bender, Dragan",Dragan Bender,20171018,pho,por,H,20171018-por-pho,22,76,124,0,20.81666667,1,1,14.4,13.75,12.5,14.4,2pt 7rb 1st 1bl 2to 0-5fg 2-2ft,0,0,3000,,3000,,,,10,,4,45,,4,
4810,"Hollis-Jefferson, Rondae",Rondae Hollis-Jefferson,20171018,bkn,ind,A,20171018-bkn-ind,19,131,140,1,27.56666667,1,1,23.8,23.5,23.25,23.8,14pt 4rb 2as 1st 1to 3-4fg 8-8ft,0,0,5200,,5000,,,,12,,4,34,,4,
4377,"Mack, Shelvin",Shelvin Mack,20171018,orl,mia,H,20171018-mia-orl,19,116,109,0,0,0,1,0,0,0,0,,0,0,3400,,3000,,,,10,,1,1,,1,
3697,"Wilkins, Damien",Damien Wilkins,20171018,ind,bkn,H,20171018-bkn-ind,19,140,131,0,11.01666667,1,1,6.2,5.25,4.75,6.2,2pt 1rb 1st 1-3fg,0,0,3000,,3000,,,,10,,2,2,,2,
4507,"Bazemore, Kent",Kent Bazemore,20171018,atl,dal,A,20171018-atl-dal,20.5,117,111,1,26.63333333,1,1,18.3,18.5,18,18.3,7pt 4rb 3as 1st 1to 1trey 3-7fg,0,0,4900,,5600,,,,14,,2,23,,2,
5146,"Wilson, D.J.",D.J. Wilson,20171018,mil,bos,A,20171018-mil-bos,19.5,108,100,0,0,0,1,0,0,0,0,,0,0,3000,,3000,,,,10,,4,34,,4,
5174,"Clavell, Gian",Gian Clavell,20171018,dal,atl,H,20171018-atl-dal,20.5,111,117,0,0,0,0,0,0,0,0,,0,0,3000,,3400,,,,10,,1,1,,1,
4761,"Vonleh, Noah",Noah Vonleh,20171018,por,pho,A,20171018-por-pho,22,124,76,0,0,0,1,0,0,0,0,,0,0,3100,,3500,,,,10,,4,45,,4,
4321,"Wall, John",John Wall,20171018,was,phi,H,20171018-phi-was,19,120,115,1,37.15,1,1,50,49.25,44.5,50,28pt 5rb 8as 2bl 2to 10-28fg 8-9ft,0,0,10000,,9800,,,,48,,1,1,,1,
4496,"Acy, Quincy",Quincy Acy,20171018,bkn,ind,A,20171018-bkn-ind,19,131,140,0,15.9,1,1,8.4,11.5,12.5,8.4,9pt 2rb 3to 3trey 3-5fg,0,0,3000,,3000,,,,10,,4,45,,4,
5171,"Rabb, Ivan",Ivan Rabb,20171018,mem,nor,H,20171018-nor-mem,20,103,91,0,0,0,1,0,0,0,0,,0,0,3000,,3000,,,,10,,4,45,,4,
4860,"Anderson, Justin",Justin Anderson,20171018,phi,was,A,20171018-phi-was,19,115,120,0,0,0,1,0,0,0,0,,0,0,3200,,3000,,,,10,,3,34,,4,
3786,"Paul, Chris",Chris Paul,20171018,hou,sac,A,20171018-hou-sac,22,105,100,0,0,0,1,0,0,0,0,,0,0,8800,0,8000,0,,,40,0,1,1,,1,
4514,"Lamb, Jeremy",Jeremy Lamb,20171018,cha,det,A,20171018-cha-det,19,90,102,1,28.35,1,1,23.8,24,22.25,23.8,15pt 4rb 2as 1st 2to 4-10fg 7-8ft,0,0,3500,,5700,,,,10,,3,23,,2,
4657,"McCollum, C.J.",C.J. McCollum,20171018,por,pho,A,20171018-por-pho,22,124,76,0,0,0,1,0,0,0,0,,0,0,7200,,7200,,,,30,,2,2,,2,
4766,"Capela, Clint",Clint Capela,20171018,hou,sac,A,20171018-hou-sac,22,105,100,1,28.31666667,1,1,53.9,53.25,53.25,53.9,22pt 17rb 1as 3st 1bl 2to 10-12fg 2-2ft,1,0,6000,0,5800,200,,,18,0,5,5,,5,
4988,"White, Okaro",Okaro White,20171018,mia,orl,A,20171018-mia-orl,19,109,116,0,0,0,0,0,0,0,0,,0,0,3000,,3000,,,,10,,4,34,,4,
4591,"Len, Alex",Alex Len,20171018,pho,por,H,20171018-por-pho,22,76,124,0,0,0,1,0,0,0,0,,0,0,3500,,4100,,,,10,,5,45,,5,
4261,"Aminu, Al-Farouq",Al-Farouq Aminu,20171018,por,pho,A,20171018-por-pho,22,124,76,1,27.7,1,1,24.4,25,25,24.4,5pt 12rb 2as 1bl 1to 1trey 2-4fg,0,0,5000,,5100,,,,13,,4,34,,4,
4458,"Biyombo, Bismack",Bismack Biyombo,20171018,orl,mia,H,20171018-mia-orl,19,116,109,0,16.06666667,1,1,18,17.75,16.5,18,9pt 5rb 2bl 3to 4-8fg 1-2ft,0,0,4200,,3800,,,,10,,5,45,,5,
3931,"Sefolosha, Thabo",Thabo Sefolosha,20171018,uta,den,H,20171018-den-uta,21,106,96,0,20.5,1,1,18.4,16.5,15.5,18.4,7pt 2rb 2as 2st 3-7fg 1-1ft,0,0,3500,,3200,,,,10,,3,23,,2,
3116,"Crawford, Jamal",Jamal Crawford,20171018,min,sas,A,20171018-min-sas,21.5,99,107,0,24.08333333,1,1,22.1,22.25,21.75,22.1,10pt 3rb 5as 1bl 2to 3-5fg 4-4ft,0,0,3800,,3700,,,,10,,2,2,,2,
4269,"Bradley, Avery",Avery Bradley,20171018,det,cha,H,20171018-cha-det,19,102,90,1,23.31666667,1,1,16.9,18,17.25,16.9,15pt 2rb 1as 2to 7-10fg 1-1ft,0,0,5300,,5500,,,,24,,2,12,,2,
5166,"Bradley, Tony",Tony Bradley,20171018,uta,den,H,20171018-den-uta,21,106,96,0,0,0,0,0,0,0,0,,0,0,3000,,3000,,,,10,,5,45,,5,
4921,"Sabonis, Domantas",Domantas Sabonis,20171018,ind,bkn,H,20171018-bkn-ind,19,140,131,0,19.21666667,1,1,24.9,25.75,25.5,24.9,16pt 7rb 1as 1to 7-7fg 2-3ft,0,0,3100,,3200,,,,10,,4,45,,4,
4627,"Oladipo, Victor",Victor Oladipo,20171018,ind,bkn,H,20171018-bkn-ind,19,140,131,1,24.55,1,1,43,41.75,40.75,43,22pt 5rb 4as 4st 3to 2trey 6-12fg 8-10ft,0,0,6100,,6800,,,,22,,2,2,,2,
4875,"Bjelica, Nemanja",Nemanja Bjelica,20171018,min,sas,A,20171018-min-sas,21.5,99,107,0,12.76666667,1,1,14.1,14.75,14,14.1,9pt 3rb 1as 1trey 3-8fg 2-2ft,0,0,3100,,3300,,,,10,,3,34,,3,
